Gm#,Date,Day,Date,Tm,H/A,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,,
72,Thursday Jun 23,Thu,Jun 23,COL,H,ARI,L,6,7,,34-38,3,12,Ziegler,Estevez,,3:42,N,36558,--,,
73,Friday Jun 24,Fri,Jun 24,COL,H,ARI,L,9,10,,34-39,4,13,Collmenter,Estevez,Ziegler,4:30,N,35216,---,,
74,Saturday Jun 25,Sat,Jun 25,COL,H,ARI,W,11,6,,35-39,3,12,De La Rosa,Miller,Germen,3:35,D,33337,+,,
75,Sunday Jun 26,Sun,Jun 26,COL,H,ARI,W-wo,9,7,,36-39,3,12,Estevez,Bracho,,3:35,D,32435,++,,
76,Monday Jun 27,Mon,Jun 27,COL,H,TOR,W,9,5,,37-39,3,11,Gray,Storen,,2:48,N,36419,+++,,
77,Tuesday Jun 28,Tue,Jun 28,COL,H,TOR,L,9,14,,37-40,3,11,Happ,Butler,,3:51,N,33917,-,,
78,Wednesday Jun 29,Wed,Jun 29,COL,H,TOR,L,3,5,,37-41,3,11,Sanchez,Anderson,,3:17,D,38412,--,,
79,Friday Jul 1,Fri,Jul 1,COL,A,LAD,L,0,5,,37-42,3,12.5,Norris,De La Rosa,,2:53,N,43644,---,,
80,Saturday Jul 2,Sat,Jul 2,COL,A,LAD,L,1,6,,37-43,3,12.5,Kazmir,Bettis,,3:11,N,46608,----,,
81,Sunday Jul 3,Sun,Jul 3,COL,A,LAD,L,1,4,,37-44,3,13.5,McCarthy,Gray,Jansen,2:52,D,41836,-----,,
82,Monday Jul 4,Mon,Jul 4,COL,A,SFG,L,1,3,,37-45,3,14.5,Peavy,Anderson,Casilla,2:56,D,41874,------,,
83,Tuesday Jul 5,Tue,Jul 5,COL,A,SFG,W,7,3,,38-45,3,13.5,Lyles,Gearrin,,3:34,N,41753,+,,
84,Wednesday Jul 6,Wed,Jul 6,COL,A,SFG,L,1,5,,38-46,3,14.5,Cueto,De La Rosa,,2:31,N,42076,-,,
85,Thursday Jul 7,Thu,Jul 7,COL,H,PHI,W,11,2,,39-46,3,14,Bettis,Morgan,,2:53,N,35250,+,,
86,Friday Jul 8,Fri,Jul 8,COL,H,PHI,L,3,5,,39-47,3,15,Velasquez,McGee,Gomez,3:36,N,42335,-,,
87,Saturday Jul 9,Sat,Jul 9,COL,H,PHI,W,8,3,,40-47,3,15,Anderson,Eickhoff,Lyles,2:45,N,48105,+,,
88,Sunday Jul 10,Sun,Jul 10,COL,H,PHI,L,3,10,,40-48,3,16,Eflin,Chatwood,,3:11,D,32113,-,,
89,Friday Jul 15,Fri,Jul 15,COL,A,ATL,W,11,2,,41-48,3,15,De La Rosa,Harrell,,3:28,N,27236,+,,
90,Saturday Jul 16,Sat,Jul 16,COL,A,ATL,W,4,3,,42-48,3,14,Logan,Johnson,Estevez,3:02,N,28393,++,,
91,Sunday Jul 17,Sun,Jul 17,COL,A,ATL,L-wo,0,1,,42-49,3,14,Johnson,Germen,,3:22,D,18873,-,,
